id,radio,emission
1,FranceInfo,Le brief politique
2,FranceInfo,Le brief politique avec archives
3,FranceInfo,Journal de 8h
4,FranceInfo,Journal de 8h
5,FranceInfo,Les informés
6,FranceInfo,Les informés avec invités
7,FranceInfo,Décryptage éco
8,FranceInfo,Décryptage éco
9,FranceInfo,Grand angle avec reportage
10,FranceInfo,Grand angle
11,FranceInfo,Le monde à 18h
12,FranceInfo,Le monde à 18h
13,FranceInfo,FranceInfo soir
14,FranceInfo,FranceInfo soir
15,FranceInfo,Matinale
16,FranceInfo,Matinale avec chroniqueurs
17,FranceInfo,Point culture
18,FranceInfo,Point culture
19,FranceInfo,Débat public
20,FranceInfo,Débat public
21,FranceInfo,Interview express
22,FranceInfo,Interview express
23,FranceInfo,Focus international
24,FranceInfo,Focus international
25,FranceInfo,Questions du jour
26,FranceInfo,Questions du jour
27,FranceInfo,Émission spéciale
28,FranceInfo,Émission spéciale avec archives
29,FranceInfo,Chronique santé
30,FranceInfo,Chronique santé
31,FranceInfo,Le brief politique
32,FranceInfo,Analyse géopolitique
33,FranceInfo,Analyse géopolitique
34,FranceInfo,Le débat
35,FranceInfo,Le débat
36,FranceInfo,Regards croisés
37,FranceInfo,Regards croisés
38,FranceInfo,La voix des territoires
39,FranceInfo,La voix des territoires
40,FranceInfo,Éclairage économique
41,FranceInfo,Éclairage économique
42,FranceInfo,Paroles publiques
43,FranceInfo,Paroles publiques
44,FranceInfo,FranceInfo midi
45,FranceInfo,FranceInfo midi
46,FranceInfo,Grand entretien
47,FranceInfo,Grand entretien
48,FranceInfo,Le journal des idées
49,FranceInfo,Le journal des idées
50,FranceInfo,Chronique numérique
51,FranceInter,Le 7/9 avec invités
52,FranceInter,Le 7/9
53,FranceCulture,Les chemins de la philosophie avec invités
54,FranceCulture,Les chemins de la philosophie
55,FranceBleu,Matinale locale avec élus
56,FranceBleu,Matinale locale
57,FranceInfo,Analyse politique
