id,radio,emission
1,FranceInfo,Le brief politique avec Jean Dupont
2,FranceInfo,Le brief politique avec archives avec Marie Martin
3,FranceInfo,Journal de 8h avec Paul Durand
4,FranceInfo,Journal de 8h
5,FranceInfo,Les informés avec invités
6,FranceInfo,Les informés avec invités avec experts
7,FranceInfo,Décryptage éco avec Sophie Bernard
8,FranceInfo,Décryptage éco
9,FranceInfo,Grand angle avec reportage avec Alain Petit
10,FranceInfo,Grand angle
11,FranceInfo,Le monde à 18h avec correspondants
12,FranceInfo,Le monde à 18h
13,FranceInfo,FranceInfo soir avec invités politiques
14,FranceInfo,FranceInfo soir
15,FranceInfo,Matinale avec chroniqueurs
16,FranceInfo,Matinale avec chroniqueurs avec analystes
17,FranceInfo,Point culture avec auteur
18,FranceInfo,Point culture
19,FranceInfo,Débat public avec Jean Dupont et Marie Martin
20,FranceInfo,Débat public
21,FranceInfo,Interview express avec ministre
22,FranceInfo,Interview express
23,FranceInfo,Focus international avec envoyés spéciaux
24,FranceInfo,Focus international
25,FranceInfo,Questions du jour avec auditeurs
26,FranceInfo,Questions du jour
27,FranceInfo,Émission spéciale avec archives
28,FranceInfo,Émission spéciale avec archives avec invités
29,FranceInfo,Chronique santé avec médecin
30,FranceInfo,Chronique santé
31,FranceInfo,Le brief politique
32,FranceInfo,Analyse géopolitique avec experts
33,FranceInfo,Analyse géopolitique
34,FranceInfo,Le débat avec invités
35,FranceInfo,Le débat
36,FranceInfo,Regards croisés avec journalistes
37,FranceInfo,Regards croisés
38,FranceInfo,La voix des territoires avec élus
39,FranceInfo,La voix des territoires
40,FranceInfo,Éclairage économique avec économistes
41,FranceInfo,Éclairage économique
42,FranceInfo,Paroles publiques avec responsables politiques
43,FranceInfo,Paroles publiques
44,FranceInfo,FranceInfo midi avec invités
45,FranceInfo,FranceInfo midi
46,FranceInfo,Grand entretien avec personnalité
47,FranceInfo,Grand entretien
48,FranceInfo,Le journal des idées avec penseurs
49,FranceInfo,Le journal des idées
50,FranceInfo,Chronique numérique avec spécialiste
51,FranceInter,Le 7/9 avec invités
52,FranceInter,Le 7/9
53,FranceCulture,Les chemins de la philosophie avec invités
54,FranceCulture,Les chemins de la philosophie
55,FranceBleu,Matinale locale avec élus
56,FranceBleu,Matinale locale
57,FranceInfo,Analyse politique avec experts
